"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","name"
"ENSG00000117519",4483.62709360346,-2.42268313328186,0.0612492683645202,-39.5544828203245,0,0,"1266","1266","1266"
"ENSG00000183508",2053.88135557663,3.20185781074842,0.0728529770090765,43.9495809532878,0,0,"54855","54855","54855"
"ENSG00000159176",5692.46278267679,-2.31371280980018,0.0589159742722207,-39.2714003015497,0,0,"1465","1465","1465"
"ENSG00000116016",4423.94665216876,-1.88799902316147,0.0442896294835776,-42.6284673223903,0,0,"2034","2034","2034"
"ENSG00000164251",2348.7701339719,3.34448004409046,0.0695585989019653,48.0814751430533,0,0,"2150","2150","2150"
"ENSG00000124766",2576.65254960143,2.39225737143404,0.0623260827593104,38.3829251819405,0,0,"6659","6659","6659"
"ENSG00000124762",28106.1191885778,1.83224920116337,0.040690746516644,45.0286455278946,0,0,"1026","1026","1026"
"ENSG00000106366",43719.1260988373,-1.84403385564593,0.0437279602985269,-42.1705893221837,0,0,"5054","5054","5054"
"ENSG00000188153",2944.12640623352,2.26603520651489,0.0560838088054557,40.404445681914,0,0,"1287","1287","1287"
"ENSG00000122861",28007.1433373973,2.26253497977772,0.0569216446710502,39.7482362439262,0,0,"5328","5328","5328"
"ENSG00000148773",1840.19727265675,-3.19602944668446,0.076089906112783,-42.003330138786,0,0,"4288","4288","4288"
"ENSG00000059804",3443.39680712992,2.07977654786464,0.0552056584779126,37.6732495401127,0,0,"6515","6515","6515"
"ENSG00000139289",12942.9106281238,2.03730909682676,0.0478732273329294,42.5563349355685,0,0,"22822","22822","22822"
"ENSG00000125257",6050.78726438958,1.9505391704471,0.0448857934900912,43.4556018459983,0,0,"10257","10257","10257"
"ENSG00000211448",1884.75741158654,2.52368626655957,0.0656943819969392,38.4155568535092,0,0,"1734","1734","1734"
"ENSG00000128917",1307.34250385583,3.8582627613685,0.0863777748404115,44.6673090212949,0,0,"54567","54567","54567"
"ENSG00000138623",2851.61916336974,-2.40664708335225,0.0588444820448527,-40.8984326094984,0,0,"8482","8482","8482"
"ENSG00000131747",1743.84285765667,-2.92416384248696,0.069830768667656,-41.8750057929889,0,0,"7153","7153","7153"
"ENSG00000167601",8245.06804500101,-2.14232539257127,0.0419633240624504,-51.052328204101,0,0,"558","558","558"
"ENSG00000198743",1999.10327890814,2.53445924189483,0.0675009738186525,37.547002635901,0,0,"6526","6526","6526"
"ENSG00000123416",4420.07398793879,-1.93835766664291,0.051737063571461,-37.4655524074262,3.35311758827683e-307,2.12076703845204e-304,"10376","10376","10376"
